TIME_PERIOD,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,COUNTRY,FREQUENCY,COMMON_REFERENCE_PERIOD,OVERLAP,SCALE,ACCESS_SHARING_LEVEL,SECURITY_CLASSIFICATION,METHODOLOGY,IFS_FLAG,value
2020,CPI,CP01,IX,USA,A,2010A,OL,0,PUBLIC_OPEN,PUB,,,115.9612863526748
2021,CPI,CP01,IX,USA,A,2010A,OL,0,PUBLIC_OPEN,PUB,,,119.9841749231569
2022,CPI,CP01,IX,USA,A,2010A,OL,0,PUBLIC_OPEN,PUB,,,133.70902680318
2023,CPI,CP01,IX,USA,A,2010A,OL,0,PUBLIC_OPEN,PUB,,,140.3199601468186
2024,CPI,CP01,IX,USA,A,2010A,OL,0,PUBLIC_OPEN,PUB,,,141.9562868856748
2020-M01,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,112.6636280475412
2020-M02,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,113.0925917295098
2020-M03,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,113.6092979827902
2020-M04,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,116.6423745219621
2020-M05,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,117.6324573636775
2020-M06,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,118.2022424563934
2020-M07,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,117.0377577136756
2020-M08,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,116.9391827261525
2020-M09,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,116.495053661488
2020-M10,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,116.7561148921811
2020-M11,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,116.0444251470968
2020-M12,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,116.4203099896299
2021-M01,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,116.828692080797
2021-M02,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,117.1135846271549
2021-M03,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,117.3518977838041
2021-M04,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,118.069003736994
2021-M05,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,118.4297231968313
2021-M06,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,119.30823215157
2021-M07,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,120.0448364539403
2021-M08,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,120.425054262958
2021-M09,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,121.7563582153302
2021-M10,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,123.0399995363726
2021-M11,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,123.4548810772665
2021-M12,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,123.9878359548638
2022-M01,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,125.4133819282746
2022-M02,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,127.2169792274608
2022-M03,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,129.1083190979587
2022-M04,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,130.8740029404052
2022-M05,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,132.6624348568955
2022-M06,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,133.9027465130926
2022-M07,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,135.8298333570879
2022-M08,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,136.7224244529014
2022-M09,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,137.4958589703902
2022-M10,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,138.3451204013584
2022-M11,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,138.2162146484436
2022-M12,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,138.7210052438915
2023-M01,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,139.6569260045502
2023-M02,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,140.1292193513642
2023-M03,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,139.8573257044598
2023-M04,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,140.0479762297792
2023-M05,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,140.1541339086502
2023-M06,CPI,CP01,IX,USA,M,2010A,OL,0,PUBLIC_OPEN,PUB,,,140.0371438135679
